--> Time-of-Flight Data Log <--
Timestamp, Distance(m)
16:41:26.505020,1.0
16:41:26.741167,10.12
16:41:27.263252,0.0
16:41:27.477016,5.51
16:41:27.976570,10.08
16:41:28.299314,10.04
16:41:28.660533,0.0
16:41:28.904478,10.23
16:41:29.163892,0.0
16:41:29.758131,0.0
16:41:30.409238,10.01
16:41:30.764930,0.0
16:41:30.983149,0.0
16:41:31.459043,9.64
16:41:32.547969,10.04
16:41:33.003997,5.36
16:41:33.294560,9.68
16:41:33.616541,10.01
16:41:33.933185,0.27
16:41:34.538404,10.01
16:41:34.874396,10.01
16:41:35.419410,10.12
16:41:35.858797,9.64
16:41:36.212719,9.79
16:41:37.138741,6.9
16:41:37.465003,0.82
16:41:37.796745,0.0
16:41:38.159549,0.0
16:41:38.706592,0.0
16:41:39.240972,5.25
16:41:39.430810,9.46
16:41:39.852622,9.6
16:41:40.283094,4.99
16:41:40.717383,9.35
16:41:40.997954,9.68
16:41:41.449788,0.0
16:41:41.837015,0.0
16:41:42.232552,9.17
16:41:42.540383,5.07
16:41:42.866393,2.98
16:41:43.241532,0.86
16:41:43.476372,0.0
16:41:43.883541,9.53
16:41:44.264286,9.42
16:41:44.630478,9.46
16:41:44.966522,9.35
16:41:45.165803,0.0
16:41:45.531831,7.04
16:41:46.173678,9.5
16:41:46.487293,9.57
16:41:46.762898,9.5
16:41:47.092502,9.68
16:41:47.458723,9.71
16:41:48.223751,9.71
16:41:48.362232,9.93
16:41:48.772736,0.0
16:41:49.243414,10.12
16:41:49.421387,0.0
16:41:49.915245,6.97
16:41:50.246673,0.67
16:41:51.115538,0.0
16:41:51.381560,10.01
16:41:51.692154,10.12
16:41:52.178446,10.3
16:41:52.491877,10.12
16:41:52.754534,10.26
16:41:53.484088,7.59
16:41:53.876310,10.12
16:41:54.153313,5.58
16:41:54.623724,3.05
16:41:54.858004,5.47
16:41:55.372961,10.37
16:41:55.726691,10.23
16:41:56.069485,10.23
16:41:56.965745,7.19
16:41:57.287368,0.0
16:41:57.588499,3.31
16:41:57.941482,10.19
16:41:58.425186,10.26
16:41:58.884707,10.01
16:41:59.184144,10.08
16:41:59.424954,0.0
16:41:59.809020,10.26
16:42:00.106153,10.19
16:42:00.331565,0.0
16:42:00.646695,9.93
16:42:00.962535,10.26
16:42:01.451872,10.12
16:42:01.622284,0.0
16:42:01.928365,3.49
16:42:02.384890,10.04
16:42:02.513473,10.08
16:42:02.871140,10.12
16:42:03.200830,0.0
